,src,race_date,race_course,race_number,race_id,race_class,race_distance,track_condition,race_name,track,sectional_time,incident_report,finishing_position,horse_number,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,length_behind_winner,running_position_1,running_position_2,running_position_3,running_position_4,finish_time,win_odds,running_position_5,running_position_6
9172,20150624-1.html,2015-06-24,Happy Valley,1,2014-718,Class 5,2200,GOOD,NG FONG HANDICAP,"TURF - ""C+3"" COURSE",14.00 23.81 24.23 25.52 24.48 24.45,"
                GLORIOUS VICTORY was withdrawn prior to the race by order of the Stewards acting on veterinary advice (fever).  Before being allowed to race again, GLORIOUS VICTORY will be subjected to an official veterinary examination.
Prior to the race, SWEET BEAN was examined by the Veterinary Officer who reported that the horse had sustained a superficial laceration to the nose in the holding stalls.  An examination of SWEET BEAN found that horse to be suitable to race.
HIGH SPEED METRO and ENJOY THE GAME were slow to begin.
MOBILE KING stumbled at the start and then became unbalanced when bumped by CULTURAL CITY which began awkwardly and shifted out.
ZERO ENERGY ACT began awkwardly.
SWEET BEAN lost its right hind plate passing the 2100 Metres.
Approaching the 1700 Metres, YEUNG SING commenced to prove very difficult to settle and got its head up on a number of occasions when awkwardly placed close to the heels of MOBILE KING.  YEUNG SING then shifted out to avoid the heels of MOBILE KING and was consequently allowed to stride into a more forward position after being left racing wide and without cover.
Passing the winning post on the first occasion, MOBILE KING was steadied away from the heels of YEUNG SING which got its head on the side and shifted in away from ENJOY THE GAME.
Near the 400 Metres, ZERO ENERGY ACT was held up when awkwardly placed close to the heels of SWEET BEAN which was held up behind EVER SHINY which came under pressure
In the early part of the Straight, ELECTRONIC GOSPEL lay in under pressure.
The performance of EVER SHINY, which finished tailed out, was considered unacceptable.  Before being allowed to race again, EVER SHINY will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
When questioned regarding the performance of SWEET BEAN, Z Purton stated that due to the good tempo of the race SWEET BEAN was never able to travel comfortably.  He said he holds some reservations as to whether SWEET BEAN is effective at the 2200 Metres and the tempo of the race did not enable him to give the horse a comfortable run to see out the distance.  He said he attempted to shift to the outside of EVER SHINY near the 500 Metres, however, SWEET BEAN was not travelling well enough to improve at this time and this allowed MOBILE KING to improve around SWEET BEAN.  He added whilst his mount was awkwardly placed close to the heels of EVER SHINY near the 400 Metres, the horse was already under pressure and in the Straight did not respond to his riding.  He said whilst SWEET BEAN was disappointing in tonightâs race, he was of the opinion that there were some factors associated with the horseâs failure to finish off the race.  A veterinary inspection of SWEET BEAN immediately following the race did not show any significant findings.  The performance of SWEET BEAN, which finished tailed out, was considered unacceptable.  Before being allowed to race again, SWEET BEAN will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
SWEET BEAN, SUPER STRIKE and ENJOY THE GAME were sent for sampling.
",5,9.0,YEUNG SING,P001,C Y Ho,K W Lui,123,1110,6,2-1/2,3.0,3.0,3.0,3.0,2.16.88,11,3.0,5.0
9173,20150624-1.html,2015-06-24,Happy Valley,1,2014-718,Class 5,2200,GOOD,NG FONG HANDICAP,"TURF - ""C+3"" COURSE",14.00 23.81 24.23 25.52 24.48 24.45,"
                GLORIOUS VICTORY was withdrawn prior to the race by order of the Stewards acting on veterinary advice (fever).  Before being allowed to race again, GLORIOUS VICTORY will be subjected to an official veterinary examination.
Prior to the race, SWEET BEAN was examined by the Veterinary Officer who reported that the horse had sustained a superficial laceration to the nose in the holding stalls.  An examination of SWEET BEAN found that horse to be suitable to race.
HIGH SPEED METRO and ENJOY THE GAME were slow to begin.
MOBILE KING stumbled at the start and then became unbalanced when bumped by CULTURAL CITY which began awkwardly and shifted out.
ZERO ENERGY ACT began awkwardly.
SWEET BEAN lost its right hind plate passing the 2100 Metres.
Approaching the 1700 Metres, YEUNG SING commenced to prove very difficult to settle and got its head up on a number of occasions when awkwardly placed close to the heels of MOBILE KING.  YEUNG SING then shifted out to avoid the heels of MOBILE KING and was consequently allowed to stride into a more forward position after being left racing wide and without cover.
Passing the winning post on the first occasion, MOBILE KING was steadied away from the heels of YEUNG SING which got its head on the side and shifted in away from ENJOY THE GAME.
Near the 400 Metres, ZERO ENERGY ACT was held up when awkwardly placed close to the heels of SWEET BEAN which was held up behind EVER SHINY which came under pressure
In the early part of the Straight, ELECTRONIC GOSPEL lay in under pressure.
The performance of EVER SHINY, which finished tailed out, was considered unacceptable.  Before being allowed to race again, EVER SHINY will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
When questioned regarding the performance of SWEET BEAN, Z Purton stated that due to the good tempo of the race SWEET BEAN was never able to travel comfortably.  He said he holds some reservations as to whether SWEET BEAN is effective at the 2200 Metres and the tempo of the race did not enable him to give the horse a comfortable run to see out the distance.  He said he attempted to shift to the outside of EVER SHINY near the 500 Metres, however, SWEET BEAN was not travelling well enough to improve at this time and this allowed MOBILE KING to improve around SWEET BEAN.  He added whilst his mount was awkwardly placed close to the heels of EVER SHINY near the 400 Metres, the horse was already under pressure and in the Straight did not respond to his riding.  He said whilst SWEET BEAN was disappointing in tonightâs race, he was of the opinion that there were some factors associated with the horseâs failure to finish off the race.  A veterinary inspection of SWEET BEAN immediately following the race did not show any significant findings.  The performance of SWEET BEAN, which finished tailed out, was considered unacceptable.  Before being allowed to race again, SWEET BEAN will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
SWEET BEAN, SUPER STRIKE and ENJOY THE GAME were sent for sampling.
",6,3.0,ELECTRONIC GOSPEL,S026,N Rawiller,K L Man,131,1059,8,7-3/4,4.0,6.0,7.0,8.0,2.17.73,12,7.0,6.0
9174,20150624-1.html,2015-06-24,Happy Valley,1,2014-718,Class 5,2200,GOOD,NG FONG HANDICAP,"TURF - ""C+3"" COURSE",14.00 23.81 24.23 25.52 24.48 24.45,"
                GLORIOUS VICTORY was withdrawn prior to the race by order of the Stewards acting on veterinary advice (fever).  Before being allowed to race again, GLORIOUS VICTORY will be subjected to an official veterinary examination.
Prior to the race, SWEET BEAN was examined by the Veterinary Officer who reported that the horse had sustained a superficial laceration to the nose in the holding stalls.  An examination of SWEET BEAN found that horse to be suitable to race.
HIGH SPEED METRO and ENJOY THE GAME were slow to begin.
MOBILE KING stumbled at the start and then became unbalanced when bumped by CULTURAL CITY which began awkwardly and shifted out.
ZERO ENERGY ACT began awkwardly.
SWEET BEAN lost its right hind plate passing the 2100 Metres.
Approaching the 1700 Metres, YEUNG SING commenced to prove very difficult to settle and got its head up on a number of occasions when awkwardly placed close to the heels of MOBILE KING.  YEUNG SING then shifted out to avoid the heels of MOBILE KING and was consequently allowed to stride into a more forward position after being left racing wide and without cover.
Passing the winning post on the first occasion, MOBILE KING was steadied away from the heels of YEUNG SING which got its head on the side and shifted in away from ENJOY THE GAME.
Near the 400 Metres, ZERO ENERGY ACT was held up when awkwardly placed close to the heels of SWEET BEAN which was held up behind EVER SHINY which came under pressure
In the early part of the Straight, ELECTRONIC GOSPEL lay in under pressure.
The performance of EVER SHINY, which finished tailed out, was considered unacceptable.  Before being allowed to race again, EVER SHINY will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
When questioned regarding the performance of SWEET BEAN, Z Purton stated that due to the good tempo of the race SWEET BEAN was never able to travel comfortably.  He said he holds some reservations as to whether SWEET BEAN is effective at the 2200 Metres and the tempo of the race did not enable him to give the horse a comfortable run to see out the distance.  He said he attempted to shift to the outside of EVER SHINY near the 500 Metres, however, SWEET BEAN was not travelling well enough to improve at this time and this allowed MOBILE KING to improve around SWEET BEAN.  He added whilst his mount was awkwardly placed close to the heels of EVER SHINY near the 400 Metres, the horse was already under pressure and in the Straight did not respond to his riding.  He said whilst SWEET BEAN was disappointing in tonightâs race, he was of the opinion that there were some factors associated with the horseâs failure to finish off the race.  A veterinary inspection of SWEET BEAN immediately following the race did not show any significant findings.  The performance of SWEET BEAN, which finished tailed out, was considered unacceptable.  Before being allowed to race again, SWEET BEAN will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
SWEET BEAN, SUPER STRIKE and ENJOY THE GAME were sent for sampling.
",7,7.0,ZERO ENERGY ACT,S197,T H So,L Ho,124,999,1,9-1/2,7.0,7.0,6.0,7.0,2.18.00,11,8.0,7.0
9175,20150624-1.html,2015-06-24,Happy Valley,1,2014-718,Class 5,2200,GOOD,NG FONG HANDICAP,"TURF - ""C+3"" COURSE",14.00 23.81 24.23 25.52 24.48 24.45,"
                GLORIOUS VICTORY was withdrawn prior to the race by order of the Stewards acting on veterinary advice (fever).  Before being allowed to race again, GLORIOUS VICTORY will be subjected to an official veterinary examination.
Prior to the race, SWEET BEAN was examined by the Veterinary Officer who reported that the horse had sustained a superficial laceration to the nose in the holding stalls.  An examination of SWEET BEAN found that horse to be suitable to race.
HIGH SPEED METRO and ENJOY THE GAME were slow to begin.
MOBILE KING stumbled at the start and then became unbalanced when bumped by CULTURAL CITY which began awkwardly and shifted out.
ZERO ENERGY ACT began awkwardly.
SWEET BEAN lost its right hind plate passing the 2100 Metres.
Approaching the 1700 Metres, YEUNG SING commenced to prove very difficult to settle and got its head up on a number of occasions when awkwardly placed close to the heels of MOBILE KING.  YEUNG SING then shifted out to avoid the heels of MOBILE KING and was consequently allowed to stride into a more forward position after being left racing wide and without cover.
Passing the winning post on the first occasion, MOBILE KING was steadied away from the heels of YEUNG SING which got its head on the side and shifted in away from ENJOY THE GAME.
Near the 400 Metres, ZERO ENERGY ACT was held up when awkwardly placed close to the heels of SWEET BEAN which was held up behind EVER SHINY which came under pressure
In the early part of the Straight, ELECTRONIC GOSPEL lay in under pressure.
The performance of EVER SHINY, which finished tailed out, was considered unacceptable.  Before being allowed to race again, EVER SHINY will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
When questioned regarding the performance of SWEET BEAN, Z Purton stated that due to the good tempo of the race SWEET BEAN was never able to travel comfortably.  He said he holds some reservations as to whether SWEET BEAN is effective at the 2200 Metres and the tempo of the race did not enable him to give the horse a comfortable run to see out the distance.  He said he attempted to shift to the outside of EVER SHINY near the 500 Metres, however, SWEET BEAN was not travelling well enough to improve at this time and this allowed MOBILE KING to improve around SWEET BEAN.  He added whilst his mount was awkwardly placed close to the heels of EVER SHINY near the 400 Metres, the horse was already under pressure and in the Straight did not respond to his riding.  He said whilst SWEET BEAN was disappointing in tonightâs race, he was of the opinion that there were some factors associated with the horseâs failure to finish off the race.  A veterinary inspection of SWEET BEAN immediately following the race did not show any significant findings.  The performance of SWEET BEAN, which finished tailed out, was considered unacceptable.  Before being allowed to race again, SWEET BEAN will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
SWEET BEAN, SUPER STRIKE and ENJOY THE GAME were sent for sampling.
",8,1.0,CULTURAL CITY,N263,M L Yeung,A Lee,131,1074,10,9-1/2,11.0,11.0,11.0,11.0,2.18.00,26,10.0,8.0
9176,20150624-1.html,2015-06-24,Happy Valley,1,2014-718,Class 5,2200,GOOD,NG FONG HANDICAP,"TURF - ""C+3"" COURSE",14.00 23.81 24.23 25.52 24.48 24.45,"
                GLORIOUS VICTORY was withdrawn prior to the race by order of the Stewards acting on veterinary advice (fever).  Before being allowed to race again, GLORIOUS VICTORY will be subjected to an official veterinary examination.
Prior to the race, SWEET BEAN was examined by the Veterinary Officer who reported that the horse had sustained a superficial laceration to the nose in the holding stalls.  An examination of SWEET BEAN found that horse to be suitable to race.
HIGH SPEED METRO and ENJOY THE GAME were slow to begin.
MOBILE KING stumbled at the start and then became unbalanced when bumped by CULTURAL CITY which began awkwardly and shifted out.
ZERO ENERGY ACT began awkwardly.
SWEET BEAN lost its right hind plate passing the 2100 Metres.
Approaching the 1700 Metres, YEUNG SING commenced to prove very difficult to settle and got its head up on a number of occasions when awkwardly placed close to the heels of MOBILE KING.  YEUNG SING then shifted out to avoid the heels of MOBILE KING and was consequently allowed to stride into a more forward position after being left racing wide and without cover.
Passing the winning post on the first occasion, MOBILE KING was steadied away from the heels of YEUNG SING which got its head on the side and shifted in away from ENJOY THE GAME.
Near the 400 Metres, ZERO ENERGY ACT was held up when awkwardly placed close to the heels of SWEET BEAN which was held up behind EVER SHINY which came under pressure
In the early part of the Straight, ELECTRONIC GOSPEL lay in under pressure.
The performance of EVER SHINY, which finished tailed out, was considered unacceptable.  Before being allowed to race again, EVER SHINY will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
When questioned regarding the performance of SWEET BEAN, Z Purton stated that due to the good tempo of the race SWEET BEAN was never able to travel comfortably.  He said he holds some reservations as to whether SWEET BEAN is effective at the 2200 Metres and the tempo of the race did not enable him to give the horse a comfortable run to see out the distance.  He said he attempted to shift to the outside of EVER SHINY near the 500 Metres, however, SWEET BEAN was not travelling well enough to improve at this time and this allowed MOBILE KING to improve around SWEET BEAN.  He added whilst his mount was awkwardly placed close to the heels of EVER SHINY near the 400 Metres, the horse was already under pressure and in the Straight did not respond to his riding.  He said whilst SWEET BEAN was disappointing in tonightâs race, he was of the opinion that there were some factors associated with the horseâs failure to finish off the race.  A veterinary inspection of SWEET BEAN immediately following the race did not show any significant findings.  The performance of SWEET BEAN, which finished tailed out, was considered unacceptable.  Before being allowed to race again, SWEET BEAN will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
SWEET BEAN, SUPER STRIKE and ENJOY THE GAME were sent for sampling.
",9,12.0,SUPER HORSE,L308,C K Tong,C W Chang,112,1153,4,17-3/4,6.0,8.0,8.0,10.0,2.19.33,54,11.0,9.0
9177,20150624-1.html,2015-06-24,Happy Valley,1,2014-718,Class 5,2200,GOOD,NG FONG HANDICAP,"TURF - ""C+3"" COURSE",14.00 23.81 24.23 25.52 24.48 24.45,"
                GLORIOUS VICTORY was withdrawn prior to the race by order of the Stewards acting on veterinary advice (fever).  Before being allowed to race again, GLORIOUS VICTORY will be subjected to an official veterinary examination.
Prior to the race, SWEET BEAN was examined by the Veterinary Officer who reported that the horse had sustained a superficial laceration to the nose in the holding stalls.  An examination of SWEET BEAN found that horse to be suitable to race.
HIGH SPEED METRO and ENJOY THE GAME were slow to begin.
MOBILE KING stumbled at the start and then became unbalanced when bumped by CULTURAL CITY which began awkwardly and shifted out.
ZERO ENERGY ACT began awkwardly.
SWEET BEAN lost its right hind plate passing the 2100 Metres.
Approaching the 1700 Metres, YEUNG SING commenced to prove very difficult to settle and got its head up on a number of occasions when awkwardly placed close to the heels of MOBILE KING.  YEUNG SING then shifted out to avoid the heels of MOBILE KING and was consequently allowed to stride into a more forward position after being left racing wide and without cover.
Passing the winning post on the first occasion, MOBILE KING was steadied away from the heels of YEUNG SING which got its head on the side and shifted in away from ENJOY THE GAME.
Near the 400 Metres, ZERO ENERGY ACT was held up when awkwardly placed close to the heels of SWEET BEAN which was held up behind EVER SHINY which came under pressure
In the early part of the Straight, ELECTRONIC GOSPEL lay in under pressure.
The performance of EVER SHINY, which finished tailed out, was considered unacceptable.  Before being allowed to race again, EVER SHINY will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
When questioned regarding the performance of SWEET BEAN, Z Purton stated that due to the good tempo of the race SWEET BEAN was never able to travel comfortably.  He said he holds some reservations as to whether SWEET BEAN is effective at the 2200 Metres and the tempo of the race did not enable him to give the horse a comfortable run to see out the distance.  He said he attempted to shift to the outside of EVER SHINY near the 500 Metres, however, SWEET BEAN was not travelling well enough to improve at this time and this allowed MOBILE KING to improve around SWEET BEAN.  He added whilst his mount was awkwardly placed close to the heels of EVER SHINY near the 400 Metres, the horse was already under pressure and in the Straight did not respond to his riding.  He said whilst SWEET BEAN was disappointing in tonightâs race, he was of the opinion that there were some factors associated with the horseâs failure to finish off the race.  A veterinary inspection of SWEET BEAN immediately following the race did not show any significant findings.  The performance of SWEET BEAN, which finished tailed out, was considered unacceptable.  Before being allowed to race again, SWEET BEAN will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
SWEET BEAN, SUPER STRIKE and ENJOY THE GAME were sent for sampling.
",10,6.0,SWEET BEAN,S205,Z Purton,C Fownes,126,976,2,21-1/4,5.0,4.0,4.0,5.0,2.19.90,3.2,6.0,10.0
9178,20150624-1.html,2015-06-24,Happy Valley,1,2014-718,Class 5,2200,GOOD,NG FONG HANDICAP,"TURF - ""C+3"" COURSE",14.00 23.81 24.23 25.52 24.48 24.45,"
                GLORIOUS VICTORY was withdrawn prior to the race by order of the Stewards acting on veterinary advice (fever).  Before being allowed to race again, GLORIOUS VICTORY will be subjected to an official veterinary examination.
Prior to the race, SWEET BEAN was examined by the Veterinary Officer who reported that the horse had sustained a superficial laceration to the nose in the holding stalls.  An examination of SWEET BEAN found that horse to be suitable to race.
HIGH SPEED METRO and ENJOY THE GAME were slow to begin.
MOBILE KING stumbled at the start and then became unbalanced when bumped by CULTURAL CITY which began awkwardly and shifted out.
ZERO ENERGY ACT began awkwardly.
SWEET BEAN lost its right hind plate passing the 2100 Metres.
Approaching the 1700 Metres, YEUNG SING commenced to prove very difficult to settle and got its head up on a number of occasions when awkwardly placed close to the heels of MOBILE KING.  YEUNG SING then shifted out to avoid the heels of MOBILE KING and was consequently allowed to stride into a more forward position after being left racing wide and without cover.
Passing the winning post on the first occasion, MOBILE KING was steadied away from the heels of YEUNG SING which got its head on the side and shifted in away from ENJOY THE GAME.
Near the 400 Metres, ZERO ENERGY ACT was held up when awkwardly placed close to the heels of SWEET BEAN which was held up behind EVER SHINY which came under pressure
In the early part of the Straight, ELECTRONIC GOSPEL lay in under pressure.
The performance of EVER SHINY, which finished tailed out, was considered unacceptable.  Before being allowed to race again, EVER SHINY will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
When questioned regarding the performance of SWEET BEAN, Z Purton stated that due to the good tempo of the race SWEET BEAN was never able to travel comfortably.  He said he holds some reservations as to whether SWEET BEAN is effective at the 2200 Metres and the tempo of the race did not enable him to give the horse a comfortable run to see out the distance.  He said he attempted to shift to the outside of EVER SHINY near the 500 Metres, however, SWEET BEAN was not travelling well enough to improve at this time and this allowed MOBILE KING to improve around SWEET BEAN.  He added whilst his mount was awkwardly placed close to the heels of EVER SHINY near the 400 Metres, the horse was already under pressure and in the Straight did not respond to his riding.  He said whilst SWEET BEAN was disappointing in tonightâs race, he was of the opinion that there were some factors associated with the horseâs failure to finish off the race.  A veterinary inspection of SWEET BEAN immediately following the race did not show any significant findings.  The performance of SWEET BEAN, which finished tailed out, was considered unacceptable.  Before being allowed to race again, SWEET BEAN will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
SWEET BEAN, SUPER STRIKE and ENJOY THE GAME were sent for sampling.
",11,4.0,EVER SHINY,S214,N Callan,C H Yip,130,1057,3,28,2.0,1.0,2.0,2.0,2.20.97,45,4.0,11.0
12742,20151202-6.html,2015-12-02,Happy Valley,6,2015-221,Class 3,2200,GOOD,ROSELLE HANDICAP,"TURF - ""C+3"" COURSE",13.92 23.28 25.14 25.00 24.92 24.87,"
                PRINCE FALCON and LUCKY OMENS were slow to begin.
From the outside barrier, HAPPY CONTENDER was shifted across behind runners in the early stages.
Making the first turn near the 2100 Metres, AUTUMN GOLD momentarily raced tight inside SUPREME FRESH (K Teetan) which shifted in before being directed out to relieve the tightening.  K Teetan was advised to exercise more care in similar circumstances.
Near the 1050 Metres, YOUNG RANGER was awkwardly placed close to the heels of HOLMES LEGEND when SUPREME FRESH improved to be racing outside HOLMES LEGEND.
Near the 150 Metres, REDWOOD BABY and YOUNG RANGER bumped due to both horses shifting ground.  A short distance later, YOUNG RANGER became unbalanced when awkwardly placed outside REDWOOD BABY which initially got its head on the side and shifted out away from SUPREME FRESH and then was taken out by that horse.
When questioned, G Mosse stated that as FULL GLORY was having its first start for the season over the 2200 Metres and was drawn barrier 11, he had been asked to shift FULL GLORY across behind runners in the early stages as it was felt that were the horse to be ridden in a forward position, it would then not be able to finish off the race.
When questioned, Apprentice H N Wong stated that he had been asked to ride HOLMES LEGEND positively in the early stages and obtain a forward position if possible.  He said he had to ride HOLMES LEGEND along for some distance in the early stages to cross runners to his inside after being left racing three wide until rounding the Home Turn on the first occasion.  He said after shifting in to race outside YOUNG RANGER, HOLMES LEGEND was inclined to travel keenly and for this reason he allowed the horse to improve into the lead approaching the winning post on the first occasion.  He added after this HOLMES LEGEND settled better but was still inclined to travel keenly.
ALLCASH lost its right front plate after the race.
After the race, T H So advised the Veterinary Officer that HIGH WARRIOR did not feel completely comfortable in its action.  A veterinary inspection of HIGH WARRIOR immediately following the race did not show any significant findings.  Before being allowed to race again, HIGH WARRIOR will be subjected to an official veterinary examination.
A veterinary inspection of HAPPY CONTENDER and HOLMES LEGEND immediately following the race did not show any significant findings.
REDWOOD BABY and HAPPY ROCKY were sent for sampling.
<3/12/2015  Additional Veterinary Report>HAPPY CONTENDER, which performed poorly, was examined by the Veterinary Officer.  He said at that time there were no significant findings.  HAPPY CONTENDER was again examined by the Veterinary Officer at the stables of Trainer R Gibson this morning.  He said at this time he noted the horse to be lame in its left front leg with a swollen fetlock.  Before being allowed to race again, HAPPY CONTENDER will be subjected to an official veterinary examination.
",1,10.0,REDWOOD BABY,P358,M L Yeung,C S Shum,114,1023,3,-,7.0,6.0,6.0,6.0,2.17.13,5.6,6.0,1.0
12743,20151202-6.html,2015-12-02,Happy Valley,6,2015-221,Class 3,2200,GOOD,ROSELLE HANDICAP,"TURF - ""C+3"" COURSE",13.92 23.28 25.14 25.00 24.92 24.87,"
                PRINCE FALCON and LUCKY OMENS were slow to begin.
From the outside barrier, HAPPY CONTENDER was shifted across behind runners in the early stages.
Making the first turn near the 2100 Metres, AUTUMN GOLD momentarily raced tight inside SUPREME FRESH (K Teetan) which shifted in before being directed out to relieve the tightening.  K Teetan was advised to exercise more care in similar circumstances.
Near the 1050 Metres, YOUNG RANGER was awkwardly placed close to the heels of HOLMES LEGEND when SUPREME FRESH improved to be racing outside HOLMES LEGEND.
Near the 150 Metres, REDWOOD BABY and YOUNG RANGER bumped due to both horses shifting ground.  A short distance later, YOUNG RANGER became unbalanced when awkwardly placed outside REDWOOD BABY which initially got its head on the side and shifted out away from SUPREME FRESH and then was taken out by that horse.
When questioned, G Mosse stated that as FULL GLORY was having its first start for the season over the 2200 Metres and was drawn barrier 11, he had been asked to shift FULL GLORY across behind runners in the early stages as it was felt that were the horse to be ridden in a forward position, it would then not be able to finish off the race.
When questioned, Apprentice H N Wong stated that he had been asked to ride HOLMES LEGEND positively in the early stages and obtain a forward position if possible.  He said he had to ride HOLMES LEGEND along for some distance in the early stages to cross runners to his inside after being left racing three wide until rounding the Home Turn on the first occasion.  He said after shifting in to race outside YOUNG RANGER, HOLMES LEGEND was inclined to travel keenly and for this reason he allowed the horse to improve into the lead approaching the winning post on the first occasion.  He added after this HOLMES LEGEND settled better but was still inclined to travel keenly.
ALLCASH lost its right front plate after the race.
After the race, T H So advised the Veterinary Officer that HIGH WARRIOR did not feel completely comfortable in its action.  A veterinary inspection of HIGH WARRIOR immediately following the race did not show any significant findings.  Before being allowed to race again, HIGH WARRIOR will be subjected to an official veterinary examination.
A veterinary inspection of HAPPY CONTENDER and HOLMES LEGEND immediately following the race did not show any significant findings.
REDWOOD BABY and HAPPY ROCKY were sent for sampling.
<3/12/2015  Additional Veterinary Report>HAPPY CONTENDER, which performed poorly, was examined by the Veterinary Officer.  He said at that time there were no significant findings.  HAPPY CONTENDER was again examined by the Veterinary Officer at the stables of Trainer R Gibson this morning.  He said at this time he noted the horse to be lame in its left front leg with a swollen fetlock.  Before being allowed to race again, HAPPY CONTENDER will be subjected to an official veterinary examination.
",2,6.0,HAPPY ROCKY,S147,B Prebble,A Lee,120,1088,1,1,5.0,4.0,4.0,4.0,2.17.28,4.3,4.0,2.0
12744,20151202-6.html,2015-12-02,Happy Valley,6,2015-221,Class 3,2200,GOOD,ROSELLE HANDICAP,"TURF - ""C+3"" COURSE",13.92 23.28 25.14 25.00 24.92 24.87,"
                PRINCE FALCON and LUCKY OMENS were slow to begin.
From the outside barrier, HAPPY CONTENDER was shifted across behind runners in the early stages.
Making the first turn near the 2100 Metres, AUTUMN GOLD momentarily raced tight inside SUPREME FRESH (K Teetan) which shifted in before being directed out to relieve the tightening.  K Teetan was advised to exercise more care in similar circumstances.
Near the 1050 Metres, YOUNG RANGER was awkwardly placed close to the heels of HOLMES LEGEND when SUPREME FRESH improved to be racing outside HOLMES LEGEND.
Near the 150 Metres, REDWOOD BABY and YOUNG RANGER bumped due to both horses shifting ground.  A short distance later, YOUNG RANGER became unbalanced when awkwardly placed outside REDWOOD BABY which initially got its head on the side and shifted out away from SUPREME FRESH and then was taken out by that horse.
When questioned, G Mosse stated that as FULL GLORY was having its first start for the season over the 2200 Metres and was drawn barrier 11, he had been asked to shift FULL GLORY across behind runners in the early stages as it was felt that were the horse to be ridden in a forward position, it would then not be able to finish off the race.
When questioned, Apprentice H N Wong stated that he had been asked to ride HOLMES LEGEND positively in the early stages and obtain a forward position if possible.  He said he had to ride HOLMES LEGEND along for some distance in the early stages to cross runners to his inside after being left racing three wide until rounding the Home Turn on the first occasion.  He said after shifting in to race outside YOUNG RANGER, HOLMES LEGEND was inclined to travel keenly and for this reason he allowed the horse to improve into the lead approaching the winning post on the first occasion.  He added after this HOLMES LEGEND settled better but was still inclined to travel keenly.
ALLCASH lost its right front plate after the race.
After the race, T H So advised the Veterinary Officer that HIGH WARRIOR did not feel completely comfortable in its action.  A veterinary inspection of HIGH WARRIOR immediately following the race did not show any significant findings.  Before being allowed to race again, HIGH WARRIOR will be subjected to an official veterinary examination.
A veterinary inspection of HAPPY CONTENDER and HOLMES LEGEND immediately following the race did not show any significant findings.
REDWOOD BABY and HAPPY ROCKY were sent for sampling.
<3/12/2015  Additional Veterinary Report>HAPPY CONTENDER, which performed poorly, was examined by the Veterinary Officer.  He said at that time there were no significant findings.  HAPPY CONTENDER was again examined by the Veterinary Officer at the stables of Trainer R Gibson this morning.  He said at this time he noted the horse to be lame in its left front leg with a swollen fetlock.  Before being allowed to race again, HAPPY CONTENDER will be subjected to an official veterinary examination.
",3,7.0,SUPREME FRESH,S076,K Teetan,P F Yiu,119,1179,7,2-3/4,2.0,3.0,3.0,2.0,2.17.57,6.4,1.0,3.0
